titles	vars	mean_normal	mean_HRR	mean_CS	median_normal	median_HRR	median_CS	var_normal	var_HRR	var_CS	sd_normal	sd_HRR	sd_CS
haploinsufficient_geneset1	geneset1	0.3592053450202908	0.3816864104166667	0.3118250482931758	0.30235495	0.302154325	0.2917109	0.03311527867415226	0.07340070792773977	0.027582728005834296	0.18197603873629148	0.2709256501842152	0.16608048652937615
haploinsufficient_geneset2	geneset2	0.332901612	0.37073381136363637	0.2952462892284911	0.3019743	0.3108362	0.2792435	0.03955934621773256	0.032392979210100224	0.015901692241116254	0.19889531472041408	0.17998049674923175	0.12610191212315638
imprinted_geneset	geneset3	0.7745458382352941	0.96159619	0.8867835072842009	0.47810735000000004	0.40423115	0.5022835999999999	0.29788513547099826	0.9532008216243365	0.6415109290247298	0.5457885446498472	0.9763200405729345	0.8009437739471665
lof_tolerant_geneset	geneset4	0.4478099108632508	0.3863456516666667	0.3951169134146342	0.33505589999999996	0.322085925	0.331249	0.10408641652051114	0.05140941007566009	0.04274003535789538	0.3226242652382352	0.22673643305754831	0.20673663283969626
stillBirth_geneset	geneset5	0.28286958	0.46730642499999997	0.29807103461538464	0.2890771	0.46730642499999997	0.30281155	4.960654722019993e-4	0.038258994087661244	5.491561927347437e-4	0.02227252729714343	0.1955990646390244	0.023434081862423024
ADdisease_geneset	geneset6	0.35372527933571746	0.36439540113538843	0.29524711149874044	0.2993058	0.3071293	0.28858615	0.06465664946537626	0.04802005130340015	0.016273326386201114	0.25427671829205334	0.21913477885401977	0.12756694864345197
mgiEssential_geneset	geneset7	0.3409383261178808	0.3992158123180473	0.30331167769237655	0.29412175	0.306912375	0.28405879999999994	0.08111327466394304	0.09344913527211487	0.04060819371158744	0.2848039231891707	0.30569451298987177	0.20151474812426867
new_imprinted_geneset	geneset8	NA	3.25285	2.007931	NA	3.25285	2.007931	NA	NA	NA	NA	NA	NA
haploinsufficient_geneset	geneset10	0.32599159434731145	0.3778555445945946	0.3105082228755473	0.3007313	0.3069843	0.286638	0.026121891163002127	0.05873024944412983	0.02764043312352326	0.16162268146210831	0.24234324716015881	0.1662541221249063
